Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
Infected-4-Bright-IGL	Infected	Infected bright	Bright	IGL	charge	-0.023176024	0.33761130890899
Infected-4-Naive-IGL	Infected	Infected naive	Naive	IGL	charge	-0.01954161	0.599035376958185
Infected-5-Bright-IGL	Infected	Infected bright	Bright	IGL	charge	-0.0137292	1.01712309821664
Infected-5-Naive-IGL	Infected	Infected naive	Naive	IGL	charge	-0.024272602	0.258734251509021
CVID-2-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.5823124	1.18636040195501
CVID-2-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.5789736	0.850869533028728
CVID-4-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.57598513	0.550580687617159
CVID-4-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.5752221	0.473909548969494
CVID-5-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.57852024	0.805314800688843
CVID-5-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.55718285	-1.33871883765998
CVID-6-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.59401584	2.36235095395772
CVID-6-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.55618304	-1.43918221541882
CVID-7-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.57077664	0.0272187504259898
CVID-7-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.5769625	0.648789238762036
CVID-8-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.5532178	-1.73713685306557
CVID-8-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.55536693	-1.52118696354372
CVID-9-Bright-IGK	CVID	CVID bright	Bright	IGK	polarity	0.5706639	0.0158903568226799
CVID-9-Naive-IGK	CVID	CVID naive	Naive	IGK	polarity	0.56864095	-0.187380654706738
HD-1-Bright-IGK	Healthy	Healthy bright	Bright	IGK	polarity	0.56990725	-0.0601397036700369
HD-1-Naive-IGK	Healthy	Healthy naive	Naive	IGK	polarity	0.5666122	-0.391234464558844
HD-3-Bright-IGK	Healthy	Healthy bright	Bright	IGK	polarity	0.5585192	-1.20443908963984
HD-3-Naive-IGK	Healthy	Healthy naive	Naive	IGK	polarity	0.5652814	-0.524956534873654
HD-4-Bright-IGK	Healthy	Healthy bright	Bright	IGK	polarity	0.5730132	0.251953822249936
HD-4-Naive-IGK	Healthy	Healthy naive	Naive	IGK	polarity	0.5669194	-0.360366249950559
HD-5-Bright-IGK	Healthy	Healthy bright	Bright	IGK	polarity	0.5640236	-0.651343384920231
HD-5-Naive-IGK	Healthy	Healthy naive	Naive	IGK	polarity	0.5621896	-0.835628233851228
Infected-2-Bright-IGK	Infected	Infected bright	Bright	IGK	polarity	0.57796127	0.749148114752656
Infected-2-Naive-IGK	Infected	Infected naive	Naive	IGK	polarity	0.5791496	0.868554447648066
Infected-3-Bright-IGK	Infected	Infected bright	Bright	IGK	polarity	0.5876071	1.71838493283558
Infected-3-Naive-IGK	Infected	Infected naive	Naive	IGK	polarity	0.5690125	-0.150046393190756
Infected-4-Bright-IGK	Infected	Infected bright	Bright	IGK	polarity	0.5737732	0.328320499015233
Infected-4-Naive-IGK	Infected	Infected naive	Naive	IGK	polarity	0.568531	-0.198428702220352
Infected-5-Bright-IGK	Infected	Infected bright	Bright	IGK	polarity	0.5902962	1.98859234137448
Infected-5-Naive-IGK	Infected	Infected naive	Naive	IGK	polarity	0.55683583	-1.37358826420089
CVID-2-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.43265116	-2.35180948103764
CVID-2-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.51072025	1.21848927935659
CVID-4-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.48480278	0.0332172208049341
CVID-4-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.48194447	-0.0975005914536992
CVID-5-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.47895086	-0.234406018071377
CVID-5-Naive-IGL	CVID	CVID naive	Naive	IGL	polarity	0.48064822	-0.156781412687314
CVID-6-Bright-IGL	CVID	CVID bright	Bright	IGL	polarity	0.5123317	1.2921850011517
